No,File Name,Full Path,Header
1,Abdullah_Yusuf_Ali_translation.csv,D:\Project\Training\Tro1\NLP Quran project\data\Abdullah_Yusuf_Ali_translation.csv,"Name, Surah, Ayat, Verse"
2,AlAmali_TheDictations__ShaykhMuhammadbAlialSaduq.csv,D:\Project\Training\Tro1\NLP Quran project\data\AlAmali_TheDictations__ShaykhMuhammadbAlialSaduq.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
3,AlAmali_TheDictations__ShaykhMuhammadbMuhammadalMufid.csv,D:\Project\Training\Tro1\NLP Quran project\data\AlAmali_TheDictations__ShaykhMuhammadbMuhammadalMufid.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
4,AlKafi_TheSufficient_Volume1_ShaykhMuhammadbYaqubalKulayni.csv,D:\Project\Training\Tro1\NLP Quran project\data\AlKafi_TheSufficient_Volume1_ShaykhMuhammadbYaqubalKulayni.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
5,AlKafi_TheSufficient_Volume2_ShaykhMuhammadbYaqubalKulayni.csv,D:\Project\Training\Tro1\NLP Quran project\data\AlKafi_TheSufficient_Volume2_ShaykhMuhammadbYaqubalKulayni.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
6,AlKafi_TheSufficient_Volume3_ShaykhMuhammadbYaqubalKulayni.csv,D:\Project\Training\Tro1\NLP Quran project\data\AlKafi_TheSufficient_Volume3_ShaykhMuhammadbYaqubalKulayni.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
7,AlKafi_TheSufficient_Volume4_ShaykhMuhammadbYaqubalKulayni.csv,D:\Project\Training\Tro1\NLP Quran project\data\AlKafi_TheSufficient_Volume4_ShaykhMuhammadbYaqubalKulayni.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
8,AlKafi_TheSufficient_Volume5_ShaykhMuhammadbYaqubalKulayni.csv,D:\Project\Training\Tro1\NLP Quran project\data\AlKafi_TheSufficient_Volume5_ShaykhMuhammadbYaqubalKulayni.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
9,AlKafi_TheSufficient_Volume6_ShaykhMuhammadbYaqubalKulayni.csv,D:\Project\Training\Tro1\NLP Quran project\data\AlKafi_TheSufficient_Volume6_ShaykhMuhammadbYaqubalKulayni.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
10,AlKafi_TheSufficient_Volume7_ShaykhMuhammadbYaqubalKulayni.csv,D:\Project\Training\Tro1\NLP Quran project\data\AlKafi_TheSufficient_Volume7_ShaykhMuhammadbYaqubalKulayni.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
11,AlKafi_TheSufficient_Volume8_ShaykhMuhammadbYaqubalKulayni.csv,D:\Project\Training\Tro1\NLP Quran project\data\AlKafi_TheSufficient_Volume8_ShaykhMuhammadbYaqubalKulayni.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
12,AlKhisal_TheBookofCharacteristics__ShaykhMuhammadbAlialSaduq.csv,D:\Project\Training\Tro1\NLP Quran project\data\AlKhisal_TheBookofCharacteristics__ShaykhMuhammadbAlialSaduq.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
13,AlTawhid_TheBookofDivineUnity__ShaykhMuhammadbAlialSaduq.csv,D:\Project\Training\Tro1\NLP Quran project\data\AlTawhid_TheBookofDivineUnity__ShaykhMuhammadbAlialSaduq.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
14,Al_Qushairi_Tafsir_tafseer.csv,D:\Project\Training\Tro1\NLP Quran project\data\Al_Qushairi_Tafsir_tafseer.csv,"Arabic, Tafseer"
15,Arthur_J._Arberry_translation.csv,D:\Project\Training\Tro1\NLP Quran project\data\Arthur_J._Arberry_translation.csv,"Name, Surah, Ayat, Verse"
16,Asma_ul_Husna.csv,D:\Project\Training\Tro1\NLP Quran project\data\Asma_ul_Husna.csv,"Arabic Name, Name in English, Name Meaning, Short Summary, Long Summary, Arabic Root, Details"
17,csv_files_info.csv,D:\Project\Training\Tro1\NLP Quran project\data\csv_files_info.csv,"No, File Name, Full Path, Header, Sample Data"
18,English.csv,D:\Project\Training\Tro1\NLP Quran project\data\English.csv,Error reading header: 'utf-8' codec can't decode byte 0xb4 in position 4996: invalid start byte
19,FadailalShia_VirtuesoftheShia__ShaykhMuhammadbAlialSaduq.csv,D:\Project\Training\Tro1\NLP Quran project\data\FadailalShia_VirtuesoftheShia__ShaykhMuhammadbAlialSaduq.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
20,kaggle_hadiths_clean.csv,D:\Project\Training\Tro1\NLP Quran project\data\kaggle_hadiths_clean.csv,"id, hadith_id, source, chapter_no, hadith_no, chapter, chain_indx, text_ar, text_en"
21,kaggle_rawis.csv,D:\Project\Training\Tro1\NLP Quran project\data\kaggle_rawis.csv,"scholar_indx, name, grade, parents, spouse, siblings, children, birth_date_place, places_of_stay, death_date_place, teachers, students, area_of_interest, tags, books, students_inds, teachers_inds, birth_place, birth_date, birth_date_hijri, birth_date_gregorian, death_date_hijri, death_date_gregorian, death_place, death_reason"
22,KamilalZiyarat_TheCompletePilgrimageGuide__ShaykhJafarbMuhammadalQummi.csv,D:\Project\Training\Tro1\NLP Quran project\data\KamilalZiyarat_TheCompletePilgrimageGuide__ShaykhJafarbMuhammadalQummi.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
23,Kashani_Tafsir_tafseer.csv,D:\Project\Training\Tro1\NLP Quran project\data\Kashani_Tafsir_tafseer.csv,"Arabic, Tafseer"
24,KitabalDuafa_TheWeakenedOnes__AbualHusaynAhmadbalHusaynalGhadairi.csv,D:\Project\Training\Tro1\NLP Quran project\data\KitabalDuafa_TheWeakenedOnes__AbualHusaynAhmadbalHusaynalGhadairi.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
25,KitabalGhayba_TheBookofOccultation__AbuAbdAllahMuhammadbIbrahimalNumani.csv,D:\Project\Training\Tro1\NLP Quran project\data\KitabalGhayba_TheBookofOccultation__AbuAbdAllahMuhammadbIbrahimalNumani.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
26,KitabalGhayba_TheBookofOccultation__ShaykhMuhammadbalHasanalTusi.csv,D:\Project\Training\Tro1\NLP Quran project\data\KitabalGhayba_TheBookofOccultation__ShaykhMuhammadbalHasanalTusi.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
27,KitabalMumin_TheBookoftheBeliever__HusaynbSaidalAhwazi.csv,D:\Project\Training\Tro1\NLP Quran project\data\KitabalMumin_TheBookoftheBeliever__HusaynbSaidalAhwazi.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
28,KitabalZuhd_TheBookofAsceticism__HusaynbSaidalAhwazi.csv,D:\Project\Training\Tro1\NLP Quran project\data\KitabalZuhd_TheBookofAsceticism__HusaynbSaidalAhwazi.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
29,MaanialAkhbar_TheMeaningsofReports__ShaykhMuhammadbAlialSaduq.csv,D:\Project\Training\Tro1\NLP Quran project\data\MaanialAkhbar_TheMeaningsofReports__ShaykhMuhammadbAlialSaduq.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
30,main_df.csv,D:\Project\Training\Tro1\NLP Quran project\data\main_df.csv,"Name, Surah, Ayat, Arabic, Translation - Muhammad Tahir-ul-Qadri, Translation - Arthur J, Translation - Marmaduke Pickthall, Tafaseer - Tafsir al-Jalalayn, Tafaseer - Tanwir al-Miqbas min Tafsir Ibn Abbas, EnglishTitle, ArabicTitle, RomanTitle, NumberOfVerses, NumberOfRukus, PlaceOfRevelation"
31,Marmaduke_Pickthall_translation.csv,D:\Project\Training\Tro1\NLP Quran project\data\Marmaduke_Pickthall_translation.csv,"Name, Surah, Ayat, Verse"
32,Martin_Lings_translation.csv,D:\Project\Training\Tro1\NLP Quran project\data\Martin_Lings_translation.csv,"Name, Surah, Ayat, Verse"
33,Muhammad_Asad_translation.csv,D:\Project\Training\Tro1\NLP Quran project\data\Muhammad_Asad_translation.csv,"Name, Surah, Ayat, Verse"
34,Muhammad_Tahir-ul-Qadri_translation.csv,D:\Project\Training\Tro1\NLP Quran project\data\Muhammad_Tahir-ul-Qadri_translation.csv,"Name, Surah, Ayat, Verse"
35,MujamalAhadithalMutabara_AComprehensiveCompilationofReliableNarrations__ShaykhMuhammadAsifalMuhsini.csv,D:\Project\Training\Tro1\NLP Quran project\data\MujamalAhadithalMutabara_AComprehensiveCompilationofReliableNarrations__ShaykhMuhammadAsifalMuhsini.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
36,NahjalBalagha_ThePeakofEloquence__alSharifalRadi.csv,D:\Project\Training\Tro1\NLP Quran project\data\NahjalBalagha_ThePeakofEloquence__alSharifalRadi.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
37,Recitations_of_Ibrahim_walk_from_saheeh_international_translation.csv,D:\Project\Training\Tro1\NLP Quran project\data\Recitations_of_Ibrahim_walk_from_saheeh_international_translation.csv,"Name, Surah, Ayat, Verse"
38,RisalatalHuquq_TreatiseofRights__attributedtoImamZaynalAbidinas.csv,D:\Project\Training\Tro1\NLP Quran project\data\RisalatalHuquq_TreatiseofRights__attributedtoImamZaynalAbidinas.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
39,Royal_Aal_al-Bayt_Institute_Translation_translation.csv,D:\Project\Training\Tro1\NLP Quran project\data\Royal_Aal_al-Bayt_Institute_Translation_translation.csv,"Name, Surah, Ayat, Verse"
40,SifatalShia_AttributesoftheShia__ShaykhMuhammadbAlialSaduq.csv,D:\Project\Training\Tro1\NLP Quran project\data\SifatalShia_AttributesoftheShia__ShaykhMuhammadbAlialSaduq.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
41,surah_info.csv,D:\Project\Training\Tro1\NLP Quran project\data\surah_info.csv,"SurahNumber, EnglishTitle, ArabicTitle, RomanTitle, NumberOfVerses, NumberOfRukus, PlaceOfRevelation"
42,Tafsir_al-Jalalayn_tafseer.csv,D:\Project\Training\Tro1\NLP Quran project\data\Tafsir_al-Jalalayn_tafseer.csv,"Arabic, Tafseer"
43,Tanwir_al-Miqbas_min_Tafsir_Ibn_Abbas_tafseer.csv,D:\Project\Training\Tro1\NLP Quran project\data\Tanwir_al-Miqbas_min_Tafsir_Ibn_Abbas_tafseer.csv,"Arabic, Tafseer"
44,ThawabalAmalwaiqabalAmal_TheRewardsPunishmentsofDeeds__ShaykhMuhammadbAlialSaduq.csv,D:\Project\Training\Tro1\NLP Quran project\data\ThawabalAmalwaiqabalAmal_TheRewardsPunishmentsofDeeds__ShaykhMuhammadbAlialSaduq.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
45,The Quran Dataset.csv,D:\Project\Training\Tro1\NLP Quran project\data\The Quran Dataset.csv,"surah_no, surah_name_en, surah_name_ar, surah_name_roman, ayah_no_surah, ayah_no_quran, ayah_ar, ayah_en, ruko_no, juz_no, manzil_no, hizb_quarter, total_ayah_surah, total_ayah_quran, place_of_revelation, sajah_ayah, sajdah_no, no_of_word_ayah, list_of_words"
46,translated_samples.csv,D:\Project\Training\Tro1\NLP Quran project\data\translated_samples.csv,"Hadith, Book, Num_hadith, Matn, Sanad, Sanad_Length"
47,UyunakhbaralRida_TheSourceofTraditionsonImamalRida_Volume1_ShaykhMuhammadbAlialSaduq.csv,D:\Project\Training\Tro1\NLP Quran project\data\UyunakhbaralRida_TheSourceofTraditionsonImamalRida_Volume1_ShaykhMuhammadbAlialSaduq.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
48,UyunakhbaralRida_TheSourceofTraditionsonImamalRida_Volume2_ShaykhMuhammadbAlialSaduq.csv,D:\Project\Training\Tro1\NLP Quran project\data\UyunakhbaralRida_TheSourceofTraditionsonImamalRida_Volume2_ShaykhMuhammadbAlialSaduq.csv,"title, title_en, volume, author, translator, description, book, chapter, hadees_number, hadees_arabic, hadees_english"
